"","animalid","Sex","Neutered","Breed","CauseDeath","Method.of.death","dateBirth","dateDeath"
"387",3950740,"Male","Entire","Belgian Shepherd","Enteropathy","Euthanasia",2015-02-10,2016-03-06
"390",3954918,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2016-01-01,2016-08-09
"392",11709953,"Male","Entire","Bulldog","Enteropathy","Euthanasia",2015-01-07,2016-11-03
"394",3796256,"Female","Neutered","Pug","Disorder not diagnsosed","Unassisted",2016-01-02,2016-12-10
"413",6927786,"Male","Entire","Pomeranian","Shock","Unassisted",2016-07-07,2017-04-04
"416",3514253,"Female","Entire","Crossbreed","Traumatic injury","Unassisted",2015-09-12,2016-07-09
"417",6721680,"Male","Entire","Crossbreed","Musculoskeletal disorder","Euthanasia",2016-09-05,2017-08-02
"418",12220812,"Female","Entire","Staffordshire Bull Terrier","Traumatic injury","Unassisted",2015-12-04,2016-12-01
"421",11832351,"Female","Entire","Miniature Schnauzer","Traumatic injury","Unassisted",2015-05-05,2016-05-02
"422",1638139,"Female","Entire","Standard Long-Haired Dachshund","Heart disease","Euthanasia",2015-10-05,2016-10-02
"446",2683509,"Female","Entire","Chinese Shar-Pei","Traumatic injury","Unassisted",2013-07-06,2014-06-04
"453",7811977,"Male","Entire","Crossbreed","Brain disorder","Euthanasia",2016-10-01,2016-10-11
"455",3465060,"Female","Entire","Bichon Frise","Traumatic injury","Euthanasia",2015-10-09,2016-11-07
"456",11841562,"Male","Neutered","Cocker Spaniel","Traumatic injury","Euthanasia",2016-03-07,2017-06-05
"459",3974310,"Male","Neutered","Chorkie","Traumatic injury","Euthanasia",2015-03-07,2016-07-05
"460",6726860,"Female","Neutered","Staffordshire Bull Terrier","Viral infection","Euthanasia",2015-06-10,2016-11-08
"478",3331211,"Male","Entire","Pug","Disorder not diagnsosed","Euthanasia",2015-10-05,2016-05-04
"487",11946493,"Female","Neutered","Pomeranian","Abdominal disease","Unassisted",2015-02-12,2016-06-11
"491",11953002,"Female","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2016-01-10,2017-12-09
"510",3541653,"Female","Entire","Shih-tzu","Musculoskeletal disorder","Euthanasia",2016-06-01,2017-03-01
"511",1635662,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2015-08-02,2016-08-02
"516",7028727,"Female","Entire","English Bull Terrier","Traumatic injury","Unassisted",2016-12-08,2017-12-08
"519",6916626,"Female","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2015-06-09,2016-05-09
"520",3839588,"Female","Entire","Staffordshire Bull Terrier","Enteropathy","Euthanasia",2015-11-04,2016-10-04
"521",6914231,"Female","Entire","Whippet","Disorder not diagnsosed","Unassisted",2015-05-09,2016-04-09
"522",6914232,"Female","Entire","Whippet","Heart disease","Unassisted",2015-05-09,2016-04-09
"525",6856452,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-05-08,2016-05-08
"528",3508750,"Female","Neutered","Border Collie","Behaviour disorder","Euthanasia",2015-05-11,2016-08-11
"529",3556085,"Male","Entire","Long-Haired Chihuahua","Foreign body","Unassisted",2015-01-03,2016-04-03
"530",1636083,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2015-08-09,2016-11-09
"531",3326066,"Male","Entire","Siberian Husky","Collapsed","Euthanasia",2015-01-05,2016-05-05
"542",1480863,"Male","Entire","Victorian Bulldog","Behaviour disorder","Euthanasia",2015-10-07,2016-01-08
"546",3241016,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-10-01,2016-10-02
"548",2620636,"Female","Entire","Boxer","Kidney disease","Euthanasia",2014-02-12,2016-03-01
"549",11934597,"Female","Entire","King Charles Spaniel","Brain disorder","Unrecorded",2015-03-07,2016-07-08
"551",6707683,"Female","Neutered","Siberian Husky","Brain disorder","Euthanasia",2015-06-06,2016-11-07
"552",1665264,"Female","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2015-07-03,2016-12-04
"556",12136259,"Male","Entire","Belgian Groenendael Shepherd Dog","Disorder not diagnsosed","Euthanasia",2015-01-06,2016-11-07
"557",12082485,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-01-04,2016-12-05
"567",947404,"Male","Entire","Yorkshire Terrier","Traumatic injury","Unassisted",2015-11-02,2016-02-04
"573",1363393,"Male","Entire","British Bulldog","Heart disease","Unassisted",2015-07-05,2016-03-07
"577",12088463,"Female","Neutered","French Korthals Pointing Wire-Haired Griffon","Heart disease","Euthanasia",2015-09-10,2016-09-12
"578",1147863,"Male","Entire","Dogue de Bordeaux","Lower respiratory tract disorder","Euthanasia",2014-06-12,2016-08-02
"584",6833917,"Male","Entire","Crossbreed","Behaviour disorder","Unrecorded",2016-03-05,2017-11-07
"599",1632377,"Female","Entire","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2014-05-11,2016-05-02
"610",12082539,"Female","Entire","Crossbreed","Traumatic injury","Euthanasia",2016-01-07,2017-05-10
"615",2826249,"Male","Entire","Dogue de Bordeaux","Traumatic injury","Unassisted",2014-03-11,2016-12-02
"635",3948416,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2015-12-08,2016-09-12
"642",3497554,"Male","Entire","Shih-tzu","Behaviour disorder","Euthanasia",2015-03-10,2017-02-02
"646",7803646,"Female","Entire","Cockapoo","Sepsis","Euthanasia",2015-01-08,2016-04-12
"652",11710277,"Female","Neutered","Beagle","Disorder not diagnsosed","Euthanasia",2016-04-08,2017-12-12
"658",3456094,"Male","Neutered","Shih-tzu","Behaviour disorder","Unrecorded",2015-02-09,2017-12-01
"682",3563319,"Male","Entire","Lancashire Heeler","Disorder not diagnsosed","Euthanasia",2016-03-01,2017-05-06
"684",3952878,"Male","Neutered","Siberian Husky","Behaviour disorder","Euthanasia",2015-03-03,2016-04-08
"707",3463543,"Female","Entire","Chihuahua","Brain disorder","Euthanasia",2015-11-09,2017-01-03
"724",6915569,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-05-09,2017-03-03
"726",11705924,"Male","Neutered","Crossbreed","Lower respiratory tract disorder","Unassisted",2015-11-05,2016-07-11
"727",1601366,"Female","Entire","Boxer","Kidney disease","Euthanasia",2014-06-09,2016-05-03
"732",11728406,"Male","Entire","Border Collie","Brain disorder","Euthanasia",2015-06-06,2016-06-12
"733",7801206,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2015-12-06,2016-12-12
"734",7127492,"Female","Neutered","Fox Terrier","Disorder not diagnsosed","Unrecorded",2015-11-06,2016-11-12
"736",11925045,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2014-02-11,2016-04-05
"741",6747547,"Male","Entire","Crossbreed","Poor quality of life","Euthanasia",2016-02-04,2017-06-10
"746",3515112,"Female","Entire","Cavapoo","Sepsis","Unassisted",2015-01-09,2017-10-03
"747",1631219,"Female","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2014-02-11,2016-11-05
"757",11944705,"Female","Neutered","Crossbreed","Spinal cord disorder","Euthanasia",2015-12-10,2017-03-05
"760",1668093,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2014-09-11,2016-02-06
"762",3540625,"Male","Entire","Rottweiler","Behaviour disorder","Euthanasia",2015-09-12,2017-03-07
"766",3559909,"Male","Entire","Crossbreed","Traumatic injury","Euthanasia",2015-07-05,2016-04-12
"769",3965134,"Female","Neutered","German Shepherd Dog","Musculoskeletal disorder","Euthanasia",2014-11-11,2016-11-06
"772",11737135,"Male","Neutered","Crossbreed","Brain disorder","Euthanasia",2015-06-10,2017-08-05
"776",12085684,"Male","Entire","American Bulldog","Behaviour disorder","Euthanasia",2015-04-07,2017-06-02
"777",2878912,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2014-02-07,2016-05-02
"780",7805103,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-06-09,2017-11-04
"806",3512812,"Male","Neutered","Chow Chow","Behaviour disorder","Euthanasia",2015-08-01,2016-02-09
"814",6800577,"Female","Entire","Chow Chow","Brain disorder","Euthanasia",2014-05-08,2016-05-04
"820",7019067,"Female","Neutered","Shih-tzu","Haematopoietic disorder","Euthanasia",2015-04-02,2016-09-10
"821",3385287,"Male","Entire","Cocker Spaniel","Behaviour disorder","Euthanasia",2014-02-07,2016-07-03
"822",12081634,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2016-02-06,2018-07-02
"839",11803176,"Male","Entire","Great Dane","Disorder not diagnsosed","Euthanasia",2014-12-07,2016-01-04
"841",1670686,"Male","Entire","Border Collie","Disorder not diagnsosed","Euthanasia",2014-10-12,2016-01-09
"845",3296626,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2014-11-05,2016-04-02
"851",12132248,"Male","Entire","Crossbreed","Traumatic injury","Unassisted",2014-02-11,2016-01-08
"853",3534995,"Female","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2015-05-05,2017-02-02
"857",7037109,"Male","Entire","Cocker Spaniel","Behaviour disorder","Euthanasia",2014-03-07,2016-05-04
"858",3557048,"Female","Neutered","Crossbreed","Neoplasia","Euthanasia",2014-02-12,2016-04-09
"877",6862344,"Female","Entire","Rottweiler","Haematopoietic disorder","Euthanasia",2016-09-05,2018-03-03
"881",11697069,"Male","Entire","Crossbreed","Spinal cord disorder","Euthanasia",2014-10-11,2016-08-09
"882",3087018,"Female","Neutered","Cavalier King Charles Spaniel","Disorder not diagnsosed","Euthanasia",2014-12-09,2016-12-07
"893",3321969,"Male","Entire","Crossbreed","Traumatic injury","Unassisted",2014-08-04,2016-12-02
"922",11692942,"Female","Entire","French Bulldog","Complication associated with clinical care","Euthanasia",2014-07-03,2016-02-02
"925",3297986,"Female","Neutered","Yorkshire Terrier","Disorder not diagnsosed","Euthanasia",2014-05-08,2016-06-07
"929",1617759,"Female","Entire","Standard Doberman Pinscher","Collapsed","Euthanasia",2014-04-07,2016-06-06
"958",3301490,"Female","Entire","Standard Poodle","Brain disorder","Euthanasia",2015-06-01,2017-04-01
"961",1604539,"Female","Entire","Chihuahua","Enteropathy","Euthanasia",2014-09-01,2016-09-01
"963",11791624,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Euthanasia",2013-11-12,2015-11-12
"965",3511736,"Female","Entire","Staffordshire Bull Terrier","Haematopoietic disorder","Euthanasia",2014-07-01,2016-07-01
"970",12218324,"Female","Entire","Border Terrier","Behaviour disorder","Euthanasia",2014-02-08,2016-01-08
"975",12106820,"Male","Entire","Golden Retriever","Disorder not diagnsosed","Unassisted",2014-08-05,2016-07-05
"978",6863986,"Female","Entire","Short-Haired Chihuahua","Disorder not diagnsosed","Unrecorded",2014-10-08,2016-09-08
"986",3559743,"Female","Entire","Greyhound","Disorder not diagnsosed","Euthanasia",2014-07-03,2016-07-03
"987",7788631,"Male","Entire","Patterdale Terrier","Traumatic injury","Unassisted",2014-09-11,2016-09-11
"993",1477165,"Male","Neutered","Crossbreed","Traumatic injury","Unassisted",2014-01-04,2016-02-04
"996",1600145,"Male","Entire","Crossbreed","Disorder not diagnsosed","Unassisted",2015-05-01,2017-07-01
"997",3506489,"Male","Entire","Chihuahua","Lower respiratory tract disorder","Euthanasia",2014-01-01,2016-04-01
"1011",1511414,"Male","Entire","Chinese Shar-Pei","Behaviour disorder","Euthanasia",2015-03-09,2017-12-09
"1033",12003384,"Male","Neutered","Dogue de Bordeaux","Disorder not diagnsosed","Euthanasia",2015-11-06,2017-05-07
"1034",11812486,"Male","Entire","Pug","Intoxication","Unassisted",2014-10-09,2016-04-10
"1035",1574680,"Male","Entire","Border Collie","Behaviour disorder","Euthanasia",2015-07-10,2017-01-11
"1044",3247344,"Female","Entire","Yorkshire Terrier","Neoplasia","Euthanasia",2014-02-11,2016-11-12
"1045",11979969,"Male","Neutered","Crossbreed","Male reproductive system disorder","Euthanasia",2013-01-12,2016-11-01
"1064",3233399,"Female","Entire","Portuguese Water Dog","Disorder not diagnsosed","Unassisted",2014-10-02,2016-04-04
"1069",3299177,"Female","Entire","Saint Bernard","Enteropathy","Unassisted",2014-08-10,2016-03-12
"1070",1481687,"Male","Entire","Olde English Bulldogge","Disorder not diagnsosed","Euthanasia",2015-11-07,2017-07-09
"1071",3303654,"Female","Entire","Yorkshire Terrier","Behaviour disorder","Euthanasia",2015-10-02,2017-10-04
"1074",11660600,"Male","Neutered","Weimaraner","Behaviour disorder","Euthanasia",2013-12-07,2015-11-09
"1077",1603728,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-05-07,2017-05-09
"1079",12177729,"Female","Entire","Labrador Retriever","Liver disorder","Euthanasia",2016-05-05,2018-12-07
"1103",3259098,"Female","Entire","Shih-tzu","Traumatic injury","Unassisted",2014-10-12,2017-06-03
"1104",6720814,"Male","Entire","Crossbreed","Bacterial infection","Euthanasia",2014-08-04,2016-03-07
"1106",3358794,"Male","Entire","Staffordshire Bull Terrier","Traumatic injury","Euthanasia",2015-08-05,2017-04-08
"1108",3044071,"Female","Neutered","German Shepherd Dog","Enteropathy","Euthanasia",2013-09-10,2016-08-01
"1109",1502059,"Male","Entire","Chihuahua","Heart disease","Euthanasia",2014-11-01,2016-12-04
"1111",3381637,"Male","Entire","Shih-tzu","Disorder not diagnsosed","Unassisted",2015-02-06,2017-03-09
"1126",11989890,"Male","Entire","Short-Haired Chihuahua","Brain disorder","Euthanasia",2014-01-11,2017-12-02
"1146",11686503,"Female","Neutered","German Shepherd Dog","Behaviour disorder","Euthanasia",2014-12-04,2016-09-08
"1150",12171514,"Male","Neutered","French Bulldog","Spinal cord disorder","Euthanasia",2014-04-09,2017-04-01
"1152",3298617,"Male","Neutered","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2014-08-09,2017-09-01
"1156",1510024,"Male","Entire","Jack Russell Terrier","Behaviour disorder","Euthanasia",2013-01-10,2016-05-02
"1181",12121396,"Female","Neutered","French Bulldog","Kidney disease","Euthanasia",2016-06-04,2018-02-09
"1186",3849993,"Male","Entire","French Bulldog","Brain disorder","Euthanasia",2015-09-07,2017-11-12
"1187",6944421,"Male","Entire","English Bull Terrier","Mass","Euthanasia",2015-10-06,2017-12-11
"1192",3805667,"Male","Neutered","Chihuahua","Behaviour disorder","Euthanasia",2013-02-12,2016-10-05
"1196",2874715,"Female","Entire","British Bulldog","Brain disorder","Euthanasia",2014-01-05,2016-11-10
"1206",3233372,"Male","Neutered","Cocker Spaniel","Disorder not diagnsosed","Euthanasia",2014-09-02,2016-03-08
"1209",1574840,"Female","Entire","Welsh Springer Spaniel","Musculoskeletal disorder","Euthanasia",2015-07-12,2018-01-06
"1220",6859507,"Male","Neutered","British Bulldog","Behaviour disorder","Euthanasia",2014-08-02,2016-07-08
"1221",1601240,"Male","Neutered","Staffordshire Bull Terrier","Behaviour disorder","Euthanasia",2013-01-10,2016-02-04
"1222",7080827,"Male","Entire","American Bulldog","Behaviour disorder","Euthanasia",2014-03-05,2016-02-11
"1224",1470574,"Male","Entire","Hungarian Vizsla","Behaviour disorder","Euthanasia",2015-04-07,2018-04-01
"1228",3512700,"Male","Entire","Chorkie","Disorder not diagnsosed","Unrecorded",2013-08-07,2016-11-01
"1231",7428157,"Female","Entire","Shih-tzu","Brain disorder","Unassisted",2015-06-06,2017-11-12
"1235",3093218,"Female","Neutered","Crossbreed","Enteropathy","Euthanasia",2014-05-03,2016-10-09
"1259",1450486,"Male","Entire","Border Collie","Behaviour disorder","Euthanasia",2015-02-01,2017-03-08
"1261",3848725,"Female","Entire","Jug","Brain disorder","Euthanasia",2014-07-08,2017-11-03
"1263",12172881,"Male","Neutered","Staffordshire Bull Terrier","Brain disorder","Euthanasia",2015-02-02,2017-07-09
"1267",3812142,"Female","Entire","Labrador Retriever","Disorder not diagnsosed","Euthanasia",2015-01-01,2017-10-08
"1284",11660123,"Female","Neutered","Crossbreed","Traumatic injury","Unassisted",2013-02-07,2016-02-03
"1313",12002187,"Male","Neutered","French Bulldog","Spinal cord disorder","Euthanasia",2015-10-08,2018-03-05
"1318",3410208,"Male","Entire","Cockapoo","Disorder not diagnsosed","Euthanasia",2013-11-09,2016-08-06
"1319",11695063,"Female","Entire","Standard Poodle","Heart disease","Euthanasia",2014-05-10,2017-03-07
"1320",2686686,"Male","Neutered","Cavalier King Charles Spaniel","Traumatic injury","Unassisted",2014-07-10,2017-08-07
"1322",1227540,"Male","Entire","Yorkshire Terrier","Heart disease","Euthanasia",2015-10-01,2017-12-10
"1326",1667943,"Male","Neutered","Labrador Retriever","Skin disorder","Euthanasia",2013-01-06,2016-09-03
"1347",1607884,"Female","Entire","Crossbreed","Traumatic injury","Unassisted",2015-12-08,2018-06-06
"1352",7121481,"Male","Entire","German Shepherd Dog","Behaviour disorder","Euthanasia",2014-11-02,2016-08-12
"1356",7086278,"Female","Entire","Bracco Italiano","Kidney disease","Euthanasia",2015-08-06,2018-05-04
"1357",3386797,"Female","Entire","British Bulldog","Haematopoietic disorder","Euthanasia",2015-10-04,2018-06-02
"1359",1498690,"Female","Neutered","English Springer Spaniel","Behaviour disorder","Euthanasia",2013-12-06,2016-11-04
"1360",1550202,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2015-10-02,2017-12-12
"1362",12164958,"Male","Entire","German Shepherd Dog","Enteropathy","Unassisted",2013-02-03,2016-03-01
"1363",3236695,"Female","Neutered","Chihuahua","Brain disorder","Euthanasia",2014-08-07,2017-10-05
"1366",6710139,"Male","Entire","Staffordshire Bull Terrier","Neoplasia","Euthanasia",2013-01-10,2016-10-08
"1383",11884721,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2012-07-11,2015-02-10
"1385",12215054,"Female","Entire","French Bulldog","Spinal arthropathy","Euthanasia",2013-10-10,2016-04-09
"1388",12431165,"Male","Neutered","French Bulldog","Brain disorder","Euthanasia",2013-12-08,2016-10-07
"1391",12117686,"Male","Entire","Scottish Rough Collie","Disorder not diagnsosed","Unrecorded",2013-03-02,2016-05-01
"1396",3088622,"Female","Entire","Japanese Inu Akita","Behaviour disorder","Euthanasia",2014-01-11,2017-11-10
"1410",12164200,"Male","Neutered","Crossbreed","Disorder not diagnsosed","Unassisted",2012-08-12,2015-03-12
"1415",12427085,"Male","Entire","Bulldog","Complication associated with clinical care","Unassisted",2012-02-07,2015-01-07
"1420",1604474,"Female","Neutered","Collie","Behaviour disorder","Euthanasia",2013-09-01,2016-09-01
"1421",1637898,"Male","Neutered","Crossbreed","Behaviour disorder","Euthanasia",2013-10-02,2016-10-02
"1422",3514732,"Female","Entire","Crossbreed","Behaviour disorder","Euthanasia",2013-11-01,2016-11-01
"1425",11801627,"Male","Entire","Shih-tzu","Behaviour disorder","Euthanasia",2013-02-01,2016-02-01
"1426",12436260,"Female","Entire","Yorkshire Terrier","Intoxication","Unassisted",2013-04-03,2016-04-03
"1427",12391513,"Male","Entire","Crossbreed","Disorder not diagnsosed","Euthanasia",2013-05-09,2016-04-09
"1428",12468408,"Female","Entire","Crossbreed","Brain disorder","Euthanasia",2013-08-10,2016-07-10
"1432",7020444,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2013-11-10,2016-10-10
"1436",6866791,"Female","Entire","French Bulldog","Collapsed","Unassisted",2013-11-08,2016-10-08
"1437",3962258,"Female","Entire","German Shepherd Dog","Behaviour disorder","Euthanasia",2013-10-06,2016-09-06
"1440",12166269,"Female","Entire","Short-Haired Chihuahua","Female reproductive disorder","Euthanasia",2013-10-06,2016-09-06
"1441",12099334,"Female","Entire","Siberian Husky","Spinal cord disorder","Euthanasia",2013-02-07,2016-01-07
"1446",3562024,"Male","Entire","Crossbreed","Behaviour disorder","Euthanasia",2013-09-03,2016-09-03
"1447",3510632,"Female","Entire","Jack Russell Terrier","Neoplasia","Euthanasia",2013-06-01,2016-07-01
"1449",11890998,"Female","Entire","Crossbreed","Brain disorder","Euthanasia",2013-01-12,2016-01-12
"1450",6718895,"Male","Entire","Shih-tzu","Collapsed","Euthanasia",2013-02-07,2016-02-07
"1452",3839344,"Male","Neutered","Staffordshire Bull Terrier","Skin disorder","Euthanasia",2013-11-04,2016-11-04
"1453",2441851,"Male","Entire","Patterdale Terrier","Disorder not diagnsosed","Euthanasia",2013-04-12,2016-05-12
"1457",12346577,"Female","Entire","Chihuahua","Disorder not diagnsosed","Unrecorded",2013-09-06,2016-12-06
"1461",12453761,"Female","Neutered","Cockapoo","Lower respiratory tract disorder","Euthanasia",2013-01-02,2016-07-02
"1480",1606304,"Male","Neutered","Rottweiler","Upper respiratory tract disorder","Euthanasia",2013-11-01,2016-02-02
